Product,Unit of Measurement,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23
Milk,1 litre,2.8,2.94,2.95,3.04,3.14,3.47,3.56
Milk,2 litres,3.74,3.7,3.68,3.86,3.92,4.75,4.95
Soy milk,1.89 litres,3.97,3.58,3.83,3.97,3.96,4.34,4.75
Eggs,dozen,3.41,3.52,3.59,4.05,3.77,5.09,4.65
Nut milk,1.89 litres,3.95,3.64,3.74,3.93,3.99,4.34,6
Cream,1 litre,4.91,4.93,4.94,5.33,5.49,5.73,6.03
Butter,454 grams,4.23,3.99,4.14,4.87,4.9,5.98,7.58
Margarine,907 grams,4.61,4.28,4.48,4.76,5.02,6.95,6.75
Block cheese,500 grams,5.52,5.78,5.8,5.69,6.3,6.71,3.97
Yogurt,500 grams,3.18,3.08,3.19,3.38,3.49,3.58,5.19
