Product,Unit of Measurement,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
Milk,1 liter,3.45,3.46,3.46,3.45,3.56,3.59,3.58,3.55,3.59,3.58,3.56,3.56
Milk,2 litres,4.7,4.72,4.75,4.73,4.91,4.95,4.94,4.95,4.97,4.99,4.98,4.95
Soy milk,per liter,3.92,4.44,4.34,4.65,4.44,4.34,4.74,4.44,4.64,4.33,4.51,4.75
Eggs,dozen,4.38,4.38,4.36,4.6,4.42,4.4,4.7,4.44,4.73,4.36,4.45,4.65
Nut milk,per liter,5.49,5.44,5.41,5.67,5.72,5.82,5.56,5.81,6.11,6.03,5.79,6
Cream,1 liter,5.62,5.97,6.71,6.11,6.32,6.08,6.53,6.49,6.22,6.37,5.95,6.03
Butter,per kilogram,15.48,15.73,16.08,15.9,15.09,15.97,15.9,16.01,16.56,17.18,16.76,16.7
Margarine,per kilogram,7.19,7.33,6.93,7.53,7.27,7.3,7.33,7.25,7.56,7.56,7.45,7.44
Block cheese,per kilogram,7.16,7.5,7.56,7.54,7.5,7.56,7.66,7.6,7.66,8,7.78,7.94
Yogurt,per kilogram,10.24,9.12,9.58,8.86,9.58,8.4,10.02,10.12,10.18,10.32,9.74,10.38
