Product,Unit of Measurement,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
Milk,1 litre,3.45,3.46,3.46,3.45,3.56,3.59,3.58,3.55,3.59,3.58,3.56,3.56
Milk,2 litres,4.7,4.72,4.75,4.73,4.91,4.95,4.94,4.95,4.97,4.99,4.98,4.95
Soy milk,1.89 litres,3.92,4.44,4.34,4.65,4.44,4.34,4.74,4.44,4.64,4.33,4.51,4.75
Eggs,dozen,4.38,4.38,4.36,4.6,4.42,4.4,4.7,4.44,4.73,4.36,4.45,4.65
Nut milk,1.89 litres,5.49,5.44,5.41,5.67,5.72,5.82,5.56,5.81,6.11,6.03,5.79,6
Cream,1 litre,5.62,5.97,6.71,6.11,6.32,6.08,6.53,6.49,6.22,6.37,5.95,6.03
Butter,454 grams,7.03,7.14,7.3,7.22,6.85,7.25,7.22,7.27,7.52,7.8,7.61,7.58
Margarine,907 grams,6.52,6.65,6.29,6.83,6.59,6.62,6.65,6.58,6.86,6.86,6.76,6.75
Block cheese,500 grams,3.58,3.75,3.78,3.77,3.75,3.78,3.83,3.8,3.83,4,3.89,3.97
Yogurt,500 grams,5.12,4.56,4.79,4.43,4.79,4.2,5.01,5.06,5.09,5.16,4.87,5.19
