Product,Unit of Measurement,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23
Milk,1 liter,2.8,2.94,2.95,3.04,3.14,3.47,3.56
Milk,2 litres,3.74,3.7,3.68,3.86,3.92,4.75,4.95
Soy milk,per liter,3.97,3.58,3.83,3.97,3.96,4.34,4.75
Eggs,dozen,3.41,3.52,3.59,4.05,3.77,5.09,4.65
Nut milk,per liter,3.95,3.64,3.74,3.93,3.99,4.34,6
Cream,1 liter,4.91,4.93,4.94,5.33,5.49,5.73,6.03
Butter,per kilogram,9.32,8.79,9.12,10.73,10.79,13.17,16.7
Margarine,per kilogram,5.08,4.72,4.94,5.25,5.53,7.66,7.44
Block cheese,per kilogram,11.04,11.56,11.6,11.38,12.6,13.42,7.94
Yogurt,per kilogram,6.36,6.16,6.38,6.76,6.98,7.16,10.38
