Product,Unit of Measurement,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23
Meatless burgers,226 grams,4.04,4.15,5.78,5.71,5.67,5.84,6.1
Frozen french fried potatoes,750 grams,2.07,2.03,2.35,2.38,2.45,2.91,3.29
Frozen green beans,750 grams,3.94,3.77,3.95,3.8,3.94,4.46,4.54
Frozen broccoli,500 grams,2.81,3.06,3.35,3.43,3.31,3.79,3.88
Frozen corn,750 grams,2.85,2.97,3.26,3.11,3.15,3.48,3.61
Frozen mixed vegetables,750 grams,3.45,3.42,3.74,3.7,3.58,4.14,4.39
Frozen peas,750 grams,2.9,3,3.3,3.1,3.07,3.45,3.63
Frozen pizza,390 grams,3.67,3.81,3.79,4.24,4.2,4.26,4.95
Frozen spinach,300 grams,1.87,1.98,1.79,1.73,1.99,2.49,2.52
Frozen strawberries,600 grams,4.18,4.28,4.45,4.59,4.44,5.26,4.68
