Product,Unit of Measurement,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
Meatless burgers,per kilogram,26.28,27.30,28.94,24.56,26.77,26.50,26.37,26.55,26.86,27.30,27.70,26.99
Frozen french fried potatoes,per kilogram,3.85,3.75,3.73,3.84,4.13,4.37,4.29,4.31,4.13,4.35,4.41,4.39
Frozen green beans,per kilogram,5.72,5.88,5.47,5.89,6.16,6.32,5.92,6.41,6.19,6.39,6.41,6.05
Frozen broccoli,per kilogram,7.22,7.62,6.38,7.48,7.86,7.88,7.38,7.80,7.88,7.86,8.04,7.76
Frozen corn,per kilogram,4.57,4.72,4.31,4.49,4.83,4.99,4.63,5.00,4.89,4.96,5.17,4.81
Frozen mixed vegetables,per kilogram,5.40,5.39,5.12,5.32,5.57,5.65,5.20,5.77,5.73,5.85,5.89,5.85
Frozen peas,per kilogram,4.67,4.85,4.65,4.64,4.89,5.01,4.81,5.01,4.97,5.08,5.24,4.84
Frozen pizza,per kilogram,11.77,12.49,9.74,11.95,11.72,11.44,12.10,11.46,12.69,12.90,13.10,12.69
Frozen spinach,per kilogram,7.93,8.03,7.77,7.47,8.33,8.53,7.77,8.07,8.20,8.03,8.10,8.40
Frozen strawberries,per kilogram,7.52,8.02,7.63,9.05,9.17,8.77,8.72,8.37,7.85,8.53,8.63,7.80
