Product,Unit of Measurement,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23
Meatless burgers,per kilogram,17.88,18.36,25.58,25.27,25.09,25.84,26.99
Frozen french fried potatoes,per kilogram,2.76,2.71,3.13,3.17,3.27,3.88,4.39
Frozen green beans,per kilogram,5.25,5.03,5.27,5.07,5.25,5.95,6.05
Frozen broccoli,per kilogram,5.62,6.12,6.70,6.86,6.62,7.58,7.76
Frozen corn,per kilogram,3.80,3.96,4.35,4.15,4.20,4.64,4.81
Frozen mixed vegetables,per kilogram,4.60,4.56,4.99,4.93,4.77,5.52,5.85
Frozen peas,per kilogram,3.87,4.00,4.40,4.13,4.09,4.60,4.84
Frozen pizza,per kilogram,9.41,9.77,9.72,10.87,10.77,10.92,12.69
Frozen spinach,per kilogram,6.23,6.60,5.97,5.77,6.63,8.30,8.40
Frozen strawberries,per kilogram,6.97,7.13,7.42,7.65,7.40,8.77,7.80
