Product,Unit of Measurement,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23
Apples,per kilogram,5.23,5.32,5.84,5.57,6.37,7.02,7.06
Oranges,per kilogram,4.25,3.98,3.97,4.55,5.19,6.03,6
Oranges,1.36 kilogram,5.09,5.32,5.39,5.58,5.32,6.73,6.67
Bananas,per kilogram,2.13,2.1,2.06,2.11,2.06,2.15,2.18
Pears,per kilogram,4.81,5.47,4.75,6.03,6.25,7.14,6.89
Lemons,unit,1.04,1.04,1,1.09,1.02,1.13,1.14
Limes,unit,0.82,0.85,0.8,1,1,1.07,1.36
Grapes,per kilogram,6.27,6.65,5.99,7.32,7.28,7.41,8.67
Cantaloupe,unit,2.99,3.14,3.39,3.3,3.57,4.91,4.2
Strawberries,454 grams,3.78,3.62,3.97,5.04,4.7,5.14,5.29
