Product,Unit of Measurement,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
Apples,per kilogram,6.42,7.07,6.78,6.16,6.97,7.03,6.56,6.88,6.97,7.15,7.48,7.06
Oranges,per kilogram,6.22,6.27,5.62,5.8,5.51,5.65,5.76,5.88,6.06,5.8,6.1,6
Oranges,1.36 kilogram,6,7.24,7.27,6.83,6.89,6.26,7.18,7.26,7.73,7.63,7.84,6.67
Bananas,per kilogram,2.18,2.15,2.15,2.17,2.17,2.16,2.22,2.18,2.19,2.17,2.16,2.18
Pears,per kilogram,6.52,7,7.17,6.96,7.08,6.98,6.92,6.77,6.44,6.78,7.28,6.89
Lemons,unit,1.15,1.13,1.13,1.12,1.17,1.13,1.19,1.17,1.26,1.25,1.31,1.14
Limes,unit,1.05,1.13,1.11,0.94,1.04,1.07,1.25,1.46,1.49,1.36,1.36,1.36
Grapes,per kilogram,7.19,8.39,8.73,9.04,9.15,8.81,8.23,11.37,9.6,8.21,7.83,8.67
Cantaloupe,unit,4.7,5.23,4.83,4.96,5.42,5.12,5.16,5.28,5.22,4.95,3.79,4.2
Strawberries,454 grams,6.12,7.12,7.19,5.66,5.39,4.45,5.63,4.56,4.52,5.06,5.71,5.29
Avocado,unit,1.85,1.94,1.86,1.8,1.62,1.71,1.83,1.8,1.9,1.96,2.06,1.87
