Product,Unit of Measurement,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23
Beef stewing cuts,per kilogram,14.73,11.89,14.46,13.94,15.65,14.69,17.63
Beef striploin cuts,per kilogram,26.36,20.89,18.96,27.68,24.96,23.22,27.03
Beef top sirloin cuts,per kilogram,14.77,12.34,13.39,12.25,15.50,18.47,20.57
Beef rib cuts,per kilogram,21.12,24.19,27.94,30.86,31.27,32.85,32.33
Ground beef,per kilogram,8.29,8.16,8.47,9.66,10.02,10.93,11.52
Pork loin cuts,per kilogram,6.81,6.97,6.78,8.45,7.91,8.08,9.10
Pork rib cuts,per kilogram,9.73,7.02,7.13,9.41,11.10,9.10,9.58
Pork shoulder cuts,per kilogram,4.18,7.82,7.61,6.35,7.78,8.10,8.92
Whole chicken,per kilogram,4.96,4.83,4.73,4.76,5.62,6.09,6.42
Chicken breasts,per kilogram,12.31,11.59,12.58,12.28,13.02,13.11,13.81
Chicken thigh,per kilogram,6.64,6.78,6.32,6.94,7.97,8.16,7.99
Chicken drumsticks,per kilogram,6.03,6.57,5.85,6.23,6.86,6.99,6.55
Bacon,per kilogram,11.60,12.12,11.94,11.40,13.48,14.38,13.68
Wieners,per kilogram,5.50,6.54,6.28,6.64,6.82,8.12,7.06
Salmon,per kilogram,20.05,19.92,20.13,21.37,22.21,25.66,26.67
Shrimp,grams,7.51,6.61,6.98,6.96,6.90,7.53,8.16
