Product,Unit of Measurement,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
Beef stewing cuts,per kilogram,18.74,16.78,14.83,16.44,16.46,15.43,18.02,19.08,19.39,18.58,19.93,17.63
Beef striploin cuts,per kilogram,27.81,22.44,18.62,29.17,21.31,23.49,26.04,24.57,26.40,37.21,41.80,27.03
Beef top sirloin cuts,per kilogram,14.81,14.52,14.48,15.28,17.31,16.57,20.88,19.77,21.76,20.14,25.94,20.57
Beef rib cuts,per kilogram,21.88,28.93,23.35,31.95,33.84,26.17,25.45,27.16,27.05,36.22,28.37,32.33
Ground beef,per kilogram,9.67,9.69,10.28,9.99,9.86,10.09,10.20,11.02,11.09,11.34,12.06,11.52
Pork loin cuts,per kilogram,7.27,7.10,8.56,8.46,7.73,8.13,8.34,8.70,7.70,8.24,8.61,9.10
Pork rib cuts,per kilogram,9.97,8.97,9.81,8.54,8.45,8.79,8.81,8.94,9.34,7.94,8.88,9.58
Pork shoulder cuts,per kilogram,7.90,6.66,6.79,7.38,6.94,6.49,7.77,8.06,8.18,8.34,8.70,8.92
Whole chicken,per kilogram,5.82,5.89,6.43,5.65,6.49,6.59,6.02,6.21,6.44,6.63,6.04,6.42
Chicken breasts,per kilogram,12.73,14.77,13.44,13.51,13.57,13.74,15.23,14.48,14.51,15.21,14.31,13.81
Chicken thigh,per kilogram,9.83,8.03,7.85,7.61,8.71,8.15,7.90,9.36,9.06,8.98,8.31,7.99
Chicken drumsticks,per kilogram,7.78,7.00,7.20,6.71,7.69,6.74,6.30,6.89,8.31,7.24,6.94,6.55
Bacon,per kilogram,13.88,13.52,14.26,13.36,13.28,12.00,13.38,13.14,13.42,13.38,13.64,13.68
Wieners,per kilogram,7.00,7.36,8.16,6.56,7.68,6.86,6.60,7.94,7.94,7.48,7.86,7.06
Salmon,per kilogram,22.89,23.71,22.41,24.63,25.01,25.97,24.38,27.17,27.74,28.03,26.52,26.67
Shrimp,grams,7.80,7.30,8.22,7.83,7.45,7.81,7.59,7.75,7.79,7.69,7.81,8.16
Milk,1 liter,3.45,3.46,3.46,3.45,3.56,3.59,3.58,3.55,3.59,3.58,3.56,3.56
Milk,2 litres,4.7,4.72,4.75,4.73,4.91,4.95,4.94,4.95,4.97,4.99,4.98,4.95
Soy milk,per liter,3.92,4.44,4.34,4.65,4.44,4.34,4.74,4.44,4.64,4.33,4.51,4.75
Eggs,dozen,4.38,4.38,4.36,4.60,4.42,4.40,4.70,4.44,4.73,4.36,4.45,4.65
Nut milk,per liter,5.49,5.44,5.41,5.67,5.72,5.82,5.56,5.81,6.11,6.03,5.79,6.00
Cream,1 liter,5.62,5.97,6.71,6.11,6.32,6.08,6.53,6.49,6.22,6.37,5.95,6.03
Butter,per kilogram,15.48,15.73,16.08,15.90,15.09,15.97,15.90,16.01,16.56,17.18,16.76,16.70
Margarine,per kilogram,7.19,7.33,6.93,7.53,7.27,7.30,7.33,7.25,7.56,7.56,7.45,7.44
Block cheese,per kilogram,7.16,7.50,7.56,7.54,7.50,7.56,7.66,7.60,7.66,8.00,7.78,7.94
Yogurt,per kilogram,10.24,9.12,9.58,8.86,9.58,8.40,10.02,10.12,10.18,10.32,9.74,10.38
Apples,per kilogram,6.42,7.07,6.78,6.16,6.97,7.03,6.56,6.88,6.97,7.15,7.48,7.06
Oranges,per kilogram,6.22,6.27,5.62,5.80,5.51,5.65,5.76,5.88,6.06,5.80,6.10,6.00
Oranges,per kilogram,6.00,7.24,7.27,6.83,6.89,6.26,7.18,7.26,7.73,7.63,7.84,6.67
Bananas,per kilogram,2.18,2.15,2.15,2.17,2.17,2.16,2.22,2.18,2.19,2.17,2.16,2.18
Pears,per kilogram,6.52,7.00,7.17,6.96,7.08,6.98,6.92,6.77,6.44,6.78,7.28,6.89
Lemons,unit,1.15,1.13,1.13,1.12,1.17,1.13,1.19,1.17,1.26,1.25,1.31,1.14
Limes,unit,1.05,1.13,1.11,0.94,1.04,1.07,1.25,1.46,1.49,1.36,1.36,1.36
Grapes,per kilogram,7.19,8.39,8.73,9.04,9.15,8.81,8.23,11.37,9.60,8.21,7.83,8.67
Cantaloupe,unit,4.70,5.23,4.83,4.96,5.42,5.12,5.16,5.28,5.22,4.95,3.79,4.20
Strawberries,per kilogram,13.48,15.68,15.84,12.47,11.87,9.80,12.40,10.04,9.96,11.15,12.58,11.65
Avocado,unit,1.85,1.94,1.86,1.80,1.62,1.71,1.83,1.80,1.90,1.96,2.06,1.87
Potatoes,per kilogram,1.26,1.46,1.31,1.49,1.43,1.46,1.56,1.63,1.71,1.57,1.71,1.57
Potatoes,per kilogram,5.51,5.77,5.29,5.37,5.44,5.38,5.13,5.57,5.51,5.77,5.69,5.78
Sweet potatoes,per kilogram,4.26,4.74,4.12,4.89,4.79,4.68,4.46,5.01,4.92,5.06,5.35,5.12
Tomatoes,per kilogram,5.29,7.86,8.46,8.42,8.08,7.19,6.57,6.47,5.98,6.43,6.15,6.11
Cabbage,grams,2.72,2.90,2.82,2.69,2.94,2.87,2.86,2.99,3.15,2.92,2.82,2.91
Carrots,per kilogram,2.90,3.64,3.82,4.14,4.40,4.09,4.32,4.56,4.68,4.57,4.16,4.19
Onions,per kilogram,5.75,5.54,5.87,5.83,5.88,5.82,5.76,5.61,5.81,6.15,6.12,6.06
Onions,per kilogram,3.43,4.34,4.43,4.71,4.92,4.71,4.79,4.89,4.92,5.09,4.81,4.81
Celery,unit,3.46,4.20,4.62,5.10,4.80,4.84,4.76,4.66,4.88,4.22,3.62,3.43
Cucumber,unit,1.97,2.35,2.22,2.43,2.49,2.37,2.11,2.11,1.92,2.04,2.07,2.02
Mushrooms,per kilogram,12.73,13.39,12.78,13.39,13.13,13.35,12.73,12.82,13.26,13.92,13.57,13.22
Iceberg lettuce,unit,3.69,4.82,4.93,4.72,4.23,3.74,3.86,4.31,3.61,3.21,3.20,3.31
Romaine lettuce,unit,3.96,4.93,4.75,4.72,3.98,4.18,4.34,4.43,3.40,2.89,2.62,2.79
Broccoli,unit,3.51,3.90,3.62,4.32,4.27,4.34,4.41,4.57,3.96,3.55,3.12,3.39
Peppers,per kilogram,8.09,10.01,10.16,10.23,10.15,10.23,9.43,9.52,9.52,9.35,8.50,8.43
Squash,kilograms,4.32,4.84,4.89,5.28,6.12,6.60,6.63,6.81,6.84,6.82,6.01,4.49
Salad greens,per kilogram,33.87,35.49,31.76,34.72,31.20,33.73,32.82,34.93,33.31,33.73,34.58,30.99
Meatless burgers,per kilogram,26.28,27.30,28.94,24.56,26.77,26.50,26.37,26.55,26.86,27.30,27.70,26.99
Frozen french fried potatoes,per kilogram,3.85,3.75,3.73,3.84,4.13,4.37,4.29,4.31,4.13,4.35,4.41,4.39
Frozen green beans,per kilogram,5.72,5.88,5.47,5.89,6.16,6.32,5.92,6.41,6.19,6.39,6.41,6.05
Frozen broccoli,per kilogram,7.22,7.62,6.38,7.48,7.86,7.88,7.38,7.80,7.88,7.86,8.04,7.76
Frozen corn,per kilogram,4.57,4.72,4.31,4.49,4.83,4.99,4.63,5.00,4.89,4.96,5.17,4.81
Frozen mixed vegetables,per kilogram,5.40,5.39,5.12,5.32,5.57,5.65,5.20,5.77,5.73,5.85,5.89,5.85
Frozen peas,per kilogram,4.67,4.85,4.65,4.64,4.89,5.01,4.81,5.01,4.97,5.08,5.24,4.84
Frozen pizza,per kilogram,11.77,12.49,9.74,11.95,11.72,11.44,12.10,11.46,12.69,12.90,13.10,12.69
Frozen spinach,per kilogram,7.93,8.03,7.77,7.47,8.33,8.53,7.77,8.07,8.20,8.03,8.10,8.40
Frozen strawberries,per kilogram,7.52,8.02,7.63,9.05,9.17,8.77,8.72,8.37,7.85,8.53,8.63,7.80
White bread,per kilogram,5.79,5.72,5.78,5.69,5.75,5.76,5.82,5.97,6.01,6.00,5.90,5.97
Flatbread and pita,per kilogram,8.96,9.54,9.60,9.56,9.74,9.76,9.80,10.06,10.00,9.90,10.02,10.10
Crackers and crisp breads,per kilogram,14.20,15.70,15.00,15.85,15.55,15.25,15.50,15.25,15.35,16.00,16.10,15.95
Cookies and sweet biscuits,per kilogram,11.60,10.33,10.93,11.00,11.57,11.90,12.40,12.07,11.37,12.30,12.20,11.47
