Product,Unit of Measurement,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23
Potatoes,per kilogram,4.21,4.19,4.97,4.45,5.1,5.58,5.78
Sweet potatoes,per kilogram,4.88,4.82,5.21,5,4.53,4.49,5.12
Tomatoes,per kilogram,4.5,4.21,4.36,7.12,5.37,5.89,6.11
Cabbage,grams,2.33,2.27,2.53,2.75,2.33,2.63,2.91
Carrots,1.36 kilogram,2.89,2.98,3.07,3.51,3.53,4.15,4.19
Onions,per kilogram,5.05,5.12,5.11,4.78,5.21,5.77,6.06
Onions,1.36 kilogram,3.51,3.56,3.65,3.89,4.13,5.06,4.81
Celery,unit,2.74,3.03,3.04,3.14,2.58,3.11,3.43
Cucumber,unit,1.8,1.98,1.94,2.07,1.83,2.04,2.02
Mushrooms,227 grams,2.33,2.47,2.51,2.88,2.79,3.04,3
Iceberg lettuce,unit,2.12,2.57,2.28,2.64,2.61,2.95,3.31
Romaine lettuce,unit,2.36,2.36,2.71,2.79,2.4,2.97,2.79
Broccoli,unit,2.35,2.27,2.92,2.95,2.91,3.33,3.39
Peppers,per kilogram,7.19,7.27,6.7,8.49,7.82,7.41,8.43
Squash,kilograms,3.65,3.66,4.12,3.93,3.93,4.54,4.49
Salad greens,142 grams,4.55,4.72,4.48,4.72,4.43,4.86,4.4
