Product,Unit of Measurement,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
Meatless burgers,226 grams,5.94,6.17,6.54,5.55,6.05,5.99,5.96,6,6.07,6.17,6.26,6.1
Frozen french fried potatoes,750 grams,2.89,2.81,2.8,2.88,3.1,3.28,3.22,3.23,3.1,3.26,3.31,3.29
Frozen green beans,750 grams,4.29,4.41,4.1,4.42,4.62,4.74,4.44,4.81,4.64,4.79,4.81,4.54
Frozen broccoli,500 grams,3.61,3.81,3.19,3.74,3.93,3.94,3.69,3.9,3.94,3.93,4.02,3.88
Frozen corn,750 grams,3.43,3.54,3.23,3.37,3.62,3.74,3.47,3.75,3.67,3.72,3.88,3.61
Frozen mixed vegetables,750 grams,4.05,4.04,3.84,3.99,4.18,4.24,3.9,4.33,4.3,4.39,4.42,4.39
Frozen peas,750 grams,3.5,3.64,3.49,3.48,3.67,3.76,3.61,3.76,3.73,3.81,3.93,3.63
Frozen pizza,390 grams,4.59,4.87,3.8,4.66,4.57,4.46,4.72,4.47,4.95,5.03,5.11,4.95
Frozen spinach,300 grams,2.38,2.41,2.33,2.24,2.5,2.56,2.33,2.42,2.46,2.41,2.43,2.52
Frozen strawberries,600 grams,4.51,4.81,4.58,5.43,5.5,5.26,5.23,5.02,4.71,5.12,5.18,4.68
