Product,Unit of Measurement,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23
Beef stewing cuts,per kilogram,14.73,11.89,14.46,13.94,15.65,14.69,17.63
Beef striploin cuts,per kilogram,26.36,20.89,18.96,27.68,24.96,23.22,27.03
Beef top sirloin cuts,per kilogram,14.77,12.34,13.39,12.25,15.50,18.47,20.57
Beef rib cuts,per kilogram,21.12,24.19,27.94,30.86,31.27,32.85,32.33
Ground beef,per kilogram,8.29,8.16,8.47,9.66,10.02,10.93,11.52
Pork loin cuts,per kilogram,6.81,6.97,6.78,8.45,7.91,8.08,9.10
Pork rib cuts,per kilogram,9.73,7.02,7.13,9.41,11.10,9.10,9.58
Pork shoulder cuts,per kilogram,4.18,7.82,7.61,6.35,7.78,8.10,8.92
Whole chicken,per kilogram,4.96,4.83,4.73,4.76,5.62,6.09,6.42
Chicken breasts,per kilogram,12.31,11.59,12.58,12.28,13.02,13.11,13.81
Chicken thigh,per kilogram,6.64,6.78,6.32,6.94,7.97,8.16,7.99
Chicken drumsticks,per kilogram,6.03,6.57,5.85,6.23,6.86,6.99,6.55
Bacon,per kilogram,11.60,12.12,11.94,11.40,13.48,14.38,13.68
Wieners,per kilogram,5.50,6.54,6.28,6.64,6.82,8.12,7.06
Salmon,per kilogram,20.05,19.92,20.13,21.37,22.21,25.66,26.67
Shrimp,grams,7.51,6.61,6.98,6.96,6.90,7.53,8.16
Milk,1 liter,2.80,2.94,2.95,3.04,3.14,3.47,3.56
Milk,2 litres,3.74,3.7,3.68,3.86,3.92,4.75,4.95
Soy milk,per liter,3.97,3.58,3.83,3.97,3.96,4.34,4.75
Eggs,dozen,3.41,3.52,3.59,4.05,3.77,5.09,4.65
Nut milk,per liter,3.95,3.64,3.74,3.93,3.99,4.34,6.00
Cream,1 liter,4.91,4.93,4.94,5.33,5.49,5.73,6.03
Butter,per kilogram,9.32,8.79,9.12,10.73,10.79,13.17,16.70
Margarine,per kilogram,5.08,4.72,4.94,5.25,5.53,7.66,7.44
Block cheese,per kilogram,11.04,11.56,11.60,11.38,12.60,13.42,7.94
Yogurt,per kilogram,6.36,6.16,6.38,6.76,6.98,7.16,10.38
Apples,per kilogram,5.23,5.32,5.84,5.57,6.37,7.02,7.06
Oranges,per kilogram,4.25,3.98,3.97,4.55,5.19,6.03,6.00
Oranges,per kilogram,5.09,5.32,5.39,5.58,5.32,6.73,6.67
Bananas,per kilogram,2.13,2.10,2.06,2.11,2.06,2.15,2.18
Pears,per kilogram,4.81,5.47,4.75,6.03,6.25,7.14,6.89
Lemons,unit,1.04,1.04,1.00,1.09,1.02,1.13,1.14
Limes,unit,0.82,0.85,0.80,1.00,1.00,1.07,1.36
Grapes,per kilogram,6.27,6.65,5.99,7.32,7.28,7.41,8.67
Cantaloupe,unit,2.99,3.14,3.39,3.30,3.57,4.91,4.20
Strawberries,per kilogram,8.33,7.97,8.74,11.10,10.35,11.32,11.65
Avocado,unit,2.13,1.76,1.82,1.97,1.84,1.56,1.87
Potatoes,per kilogram,1.28,1.15,1.34,1.43,1.25,1.47,1.57
Potatoes,per kilogram,4.21,4.19,4.97,4.45,5.10,5.58,5.78
Sweet potatoes,per kilogram,4.88,4.82,5.21,5.00,4.53,4.49,5.12
Tomatoes,per kilogram,4.50,4.21,4.36,7.12,5.37,5.89,6.11
Cabbage,grams,2.33,2.27,2.53,2.75,2.33,2.63,2.91
Carrots,per kilogram,2.89,2.98,3.07,3.51,3.53,4.15,4.19
Onions,per kilogram,5.05,5.12,5.11,4.78,5.21,5.77,6.06
Onions,per kilogram,3.51,3.56,3.65,3.89,4.13,5.06,4.81
Celery,unit,2.74,3.03,3.04,3.14,2.58,3.11,3.43
Cucumber,unit,1.80,1.98,1.94,2.07,1.83,2.04,2.02
Mushrooms,per kilogram,10.26,10.88,11.06,12.69,12.29,13.39,13.22
Iceberg lettuce,unit,2.12,2.57,2.28,2.64,2.61,2.95,3.31
Romaine lettuce,unit,2.36,2.36,2.71,2.79,2.40,2.97,2.79
Broccoli,unit,2.35,2.27,2.92,2.95,2.91,3.33,3.39
Peppers,per kilogram,7.19,7.27,6.70,8.49,7.82,7.41,8.43
Squash,kilograms,3.65,3.66,4.12,3.93,3.93,4.54,4.49
Salad greens,per kilogram,32.04,33.24,31.55,33.24,31.20,34.23,30.99
Meatless burgers,per kilogram,17.88,18.36,25.58,25.27,25.09,25.84,26.99
Frozen french fried potatoes,per kilogram,2.76,2.71,3.13,3.17,3.27,3.88,4.39
Frozen green beans,per kilogram,5.25,5.03,5.27,5.07,5.25,5.95,6.05
Frozen broccoli,per kilogram,5.62,6.12,6.70,6.86,6.62,7.58,7.76
Frozen corn,per kilogram,3.80,3.96,4.35,4.15,4.20,4.64,4.81
Frozen mixed vegetables,per kilogram,4.60,4.56,4.99,4.93,4.77,5.52,5.85
Frozen peas,per kilogram,3.87,4.00,4.40,4.13,4.09,4.60,4.84
Frozen pizza,per kilogram,9.41,9.77,9.72,10.87,10.77,10.92,12.69
Frozen spinach,per kilogram,6.23,6.60,5.97,5.77,6.63,8.30,8.40
Frozen strawberries,per kilogram,6.97,7.13,7.42,7.65,7.40,8.77,7.80
White bread,per kilogram,4.81,4.34,4.90,4.90,4.81,5.73,5.97
Flatbread and pita,per kilogram,8.40,8.20,7.44,7.64,7.56,9.02,10.10
Crackers and crisp breads,per kilogram,12.20,12.50,12.85,12.90,12.80,15.15,15.95
Cookies and sweet biscuits,per kilogram,9.10,9.13,9.37,10.17,10.07,11.50,11.47
Dry or fresh pasta,per kilogram,5.04,4.56,4.18,4.90,5.76,7.48,7.40
Brown rice,per kilogram,5.46,5.49,5.13,5.79,5.63,6.47,6.11
White rice,per kilogram,4.71,4.92,4.60,5.28,4.88,5.74,5.62
Cereal,per kilogram,8.33,8.05,8.33,8.73,8.90,10.48,11.05
Wheat flour,per kilogram,1.85,1.66,1.67,2.55,1.75,2.75,2.69
White sugar,per kilogram,0.95,0.98,1.02,0.89,1.15,1.28,1.20
Apple juice,per liter,1.33,1.47,1.29,1.75,1.66,1.76,2.02
Orange juice,per liter,2.01,1.97,1.94,2.26,2.21,2.23,2.48
Roasted or ground coffee,per kilogram,16.35,18.21,17.44,19.38,19.15,21.56,21.47
Tea,20 bags,3.58,3.79,3.59,4.11,3.96,4.44,4.73
Vegetable oil,per liter,2.28,2.44,2.08,2.37,3.46,4.20,3.89
Canola oil,per liter,3.45,3.39,3.42,3.40,3.87,5.50,4.99
